_,prdtypecode
1,2280
3,1280
5,2280
7,2522
8,1280
15,2522
17,2522
19,2280
21,1280
26,1280
27,2522
28,2280
33,2522
42,2522
44,2280
49,1280
55,1280
60,1280
68,2280
75,2280
88,1280
89,2522
93,1280
94,2522
97,2522
102,2280
112,2280
127,2280
128,1280
129,2280
136,1280
137,2280
147,1280
149,2522
151,1280
159,2522
166,2280
169,2280
172,1280
173,2280
186,2280
198,2522
202,1280
209,1280
210,2522
214,1280
215,1280
222,2280
231,2522
232,2280
233,2280
243,2522
254,2522
278,2522
280,1280
284,2522
285,2280
297,2522
308,2522
313,2522
318,2280
325,2280
327,1280
331,1280
333,1280
349,1280
359,2522
361,1280
365,2522
369,2522
373,2280
380,2280
388,2522
395,1280
397,2522
414,2280
423,2522
435,2280
436,2280
438,2280
439,1280
448,2522
455,2280
464,2280
479,1280
484,1280
489,2522
490,2280
495,1280
499,2280
503,2522
511,2280
517,2280
518,2280
519,2280
531,1280
535,2280
539,2280
552,1280
559,2522
567,1280
569,2522
572,2280
581,2522
594,1280
598,1280
605,2522
606,2280
609,1280
612,1280
618,2280
621,2280
632,2280
634,2522
637,1280
638,2522
642,2522
643,2522
651,2522
660,2522
663,1280
664,2280
670,1280
681,2280
682,2280
683,2522
698,1280
704,2522
706,2280
711,2522
713,2522
726,2522
734,2280
748,2522
756,1280
762,1280
766,2280
771,2522
773,2280
783,1280
786,2522
788,2522
789,2522
794,2280
815,1280
822,2280
823,1280
825,2522
832,2522
833,2522
835,2522
843,2280
845,1280
846,2280
847,2522
849,2522
851,1280
852,2280
853,2522
854,2522
856,1280
857,1280
861,2522
865,2522
866,1280
877,2280
895,2280
898,2522
902,2522
906,2280
917,1280
926,1280
941,2280
971,1280
976,2522
978,1280
979,2280
981,2280
997,1280
1017,2280
1019,2280
1026,2522
1043,2522
1046,2522
1050,1280
1052,2280
1054,1280
1058,2522
1059,2522
1064,2280
1066,2522
1069,1280
1072,2522
1074,2522
1081,2522
1110,2280
1112,1280
1115,2522
1130,2522
1131,2522
1155,2280
1173,2280
1183,2522
1189,2522
1196,2522
1197,2280
1199,2522
1203,1280
1204,1280
1216,2522
1232,2522
1233,2280
1240,2280
1241,1280
1244,2280
1247,2280
1249,2522
1258,2522
1264,2280
1269,2522
1274,2280
1276,1280
1293,1280
1298,1280
1301,2280
1308,2280
1313,1280
1314,2280
1331,2522
1334,2280
1338,2280
1343,1280
1348,1280
1350,2522
1352,2522
1357,2522
1359,1280
1362,1280
1366,2280
1367,1280
1368,2280
1372,1280
1373,1280
1374,2280
1378,1280
1391,1280
1395,2522
1397,2522
1401,1280
1408,2280
1413,2280
1421,2522
1425,1280
1429,2522
1430,1280
1438,1280
1451,2522
1453,2522
1455,2522
1459,2280
1461,2280
1463,2280
1465,2280
1469,1280
1471,2280
1485,2280
1488,1280
1500,2522
1504,1280
1518,2522
1527,1280
1533,2522
1535,1280
1540,2280
1545,2280
1549,2280
1550,2522
1553,1280
1556,2522
1562,2280
1572,2280
1579,2280
1583,2280
1587,2522
1593,2280
1597,1280
1603,2280
1604,2280
1608,2522
1609,2280
1621,1280
1626,2522
1627,2522
1630,2522
1631,2522
1639,1280
1663,1280
1675,1280
1687,2280
1707,2280
1710,1280
1714,2522
1715,2280
1716,2522
1727,1280
1729,2280
1733,2280
1735,2522
1738,2280
1741,2522
1742,2522
1756,1280
1771,2280
1772,1280
1777,1280
1780,2522
1787,2522
1793,1280
1810,1280
1826,1280
1834,2522
1836,2522
1838,2280
1840,1280
1856,2280
1857,2280
1860,1280
1875,1280
1877,2522
1882,2280
1895,1280
1899,2280
1911,1280
1915,2522
1919,1280
1925,2522
1926,2280
1928,1280
1931,1280
1939,2522
1941,2280
1946,1280
1952,2522
1955,2280
1960,2522
1966,2280
1970,1280
1975,1280
1987,2522
1992,1280
1996,1280
1999,2522
2004,2522
2005,2522
2018,2280
2019,2280
2041,2522
2051,1280
2052,2522
2065,1280
2082,2522
2083,2280
2087,1280
2090,2522
2091,2280
2098,1280
2107,1280
2109,1280
2117,1280
2118,2522
2128,2522
2130,2522
2139,2522
2151,1280
2156,2280
2160,2522
2162,2522
2166,2522
2167,2280
2170,2280
2171,2522
2173,1280
2174,2522
2176,2280
2179,2522
2184,2522
2199,2522
2203,2280
2205,2280
2211,2522
2231,1280
2240,2522
2247,1280
2262,1280
2266,2522
2274,2522
2279,1280
2283,2280
2287,2280
2290,2280
2294,1280
2298,2522
2303,2280
2306,2280
2322,2280
2327,2280
2330,2522
2343,2522
2354,2522
2356,2522
2357,2522
2358,1280
2359,2522
2370,2522
2371,2522
2385,2522
2390,1280
2392,2280
2395,2522
2406,2522
2408,2280
2411,1280
2412,1280
2424,2280
2428,2522
2429,2522
2430,2522
2431,1280
2446,1280
2448,2280
2449,1280
2458,2280
2468,2522
2475,2280
2513,2280
2515,2280
2516,2522
2519,2280
2523,2280
2525,1280
2534,1280
2537,1280
2541,2522
2548,1280
2554,2522
2568,2522
2576,1280
2581,2280
2592,2522
2594,2280
2596,2522
2599,2280
2613,1280
2614,1280
2622,2280
2636,1280
2642,1280
2643,1280
2652,1280
2657,1280
2658,2522
2662,1280
2667,1280
2668,1280
2672,1280
2678,2522
2679,2522
2684,2522
2689,1280
2690,2522
2692,2522
2699,2280
2701,1280
2707,2280
2710,2280
2711,1280
2718,2522
2730,2522
2734,2280
2743,1280
2747,2280
2748,2522
2756,2522
2766,2522
2768,2522
2774,1280
2775,1280
2783,2280
2804,1280
2807,1280
2811,1280
2814,2280
2841,2280
2842,1280
2851,1280
2860,1280
2864,2522
2867,2522
2882,2280
2886,2280
2888,1280
2889,2522
2894,2280
2906,2280
2911,2280
2917,1280
2937,2280
2938,2522
2949,2280
2951,2280
2957,1280
2959,1280
2974,2280
2978,2280
2984,1280
2986,2280
2993,1280
3000,2522
3028,2280
3041,2280
3044,1280
3051,2522
3052,2280
3055,2280
3062,1280
3066,1280
3069,2280
3078,2522
3091,2522
3106,2522
3117,2280
3122,2280
3125,2522
3137,2522
3145,2280
3151,2522
3155,2280
3168,2280
3169,1280
3172,2280
3190,1280
3194,2522
3197,2522
3206,2280
3217,2280
3223,2280
3226,1280
3228,2280
3234,2280
3237,2522
3241,2280
3248,2522
3253,2280
3265,2522
3270,1280
3276,1280
3278,2280
3296,2280
3299,1280
3302,2280
3305,2280
3313,2522
3315,1280
3330,2280
3333,2280
3339,2280
3340,2280
3341,2522
3342,1280
3347,2280
3349,2522
3353,2280
3359,2280
3364,1280
3376,2522
3377,2522
3380,2280
3381,2522
3383,1280
3397,2280
3403,2280
3404,2280
3405,1280
3406,2280
3410,2522
3411,2280
3419,2522
3429,2522
3435,2280
3446,2522
3451,2280
3453,1280
3454,1280
3456,1280
3464,2280
3472,2522
3476,1280
3480,2280
3491,2280
3502,2522
3505,2522
3507,1280
3516,2522
3522,1280
3524,2522
3537,1280
3539,1280
3542,1280
3557,1280
3558,1280
3568,2522
3569,2522
3571,1280
3576,2280
3579,2280
3582,1280
3602,2522
3603,2522
3604,2522
3611,2522
3620,1280
3627,2280
3632,2522
3655,2280
3659,1280
3664,1280
3665,1280
3674,2280
3676,2522
3683,1280
3686,2280
3691,2280
3697,1280
3705,2522
3712,2280
3724,1280
3738,1280
3740,1280
3741,2280
3745,2280
3746,2522
3749,2522
3762,2280
3767,2280
3781,1280
3794,2280
3795,1280
3803,2522
3808,1280
3828,2522
3830,2280
3840,2522
3841,1280
3853,1280
3857,2522
3860,1280
3879,2522
3891,2522
